기준연월,업종대분류명,내국인소비액(천원),외국인소비액(천원)
202201,숙박업,1.43E+07,441128
202201,여행업,403154,25231
202201,운송업,6070391,46102
202201,쇼핑업,2.88E+07,325641
202201,여가서비스업,7795144,52665
202201,식음료업,3.91E+07,252393
202202,숙박업,1.38E+07,350200
202202,여행업,385425,46000
202202,운송업,5310972,34499
202202,쇼핑업,2.49E+07,217481
202202,여가서비스업,7282250,39300
202202,식음료업,3.57E+07,232754
202203,숙박업,1.20E+07,421321
202203,여행업,388560,32589
202203,운송업,4803789,83312
202203,쇼핑업,2.55E+07,278275
202203,여가서비스업,8224012,63945
202203,식음료업,3.35E+07,340838
202204,숙박업,1.61E+07,683622
202204,여행업,467841,34601
202204,운송업,6515144,162006
202204,쇼핑업,3.32E+07,422510
202204,여가서비스업,1.05E+07,96149
202204,식음료업,4.46E+07,590273
202205,숙박업,1.89E+07,1047943
202205,여행업,541088,41012
202205,운송업,7514411,349738
202205,쇼핑업,3.40E+07,659541
202205,여가서비스업,1.20E+07,116230
202205,식음료업,5.00E+07,1158568
202206,숙박업,1.88E+07,1572878
202206,여행업,464173,63410
202206,운송업,7383760,447356
202206,쇼핑업,3.26E+07,803927
202206,여가서비스업,1.11E+07,142828
202206,식음료업,4.93E+07,1425986
202207,숙박업,2.21E+07,1981614
202207,여행업,552515,93454
202207,운송업,6332385,361067
202207,쇼핑업,2.76E+07,1074088
202207,여가서비스업,9899197,254712
202207,식음료업,4.77E+07,1638180
202208,숙박업,2.46E+07,2377008
202208,여행업,603574,141396
202208,운송업,6879988,402173
202208,쇼핑업,2.89E+07,973184
202208,여가서비스업,1.03E+07,201731
202208,식음료업,5.35E+07,1481123
202209,숙박업,1.43E+07,1599945
202209,여행업,419591,62665
202209,운송업,5170908,530605
202209,쇼핑업,2.31E+07,902833
202209,여가서비스업,8644622,155978
202209,식음료업,3.71E+07,1533780
202210,숙박업,1.70E+07,2494203
202210,여행업,512350,92463
202210,운송업,6393737,794979
202210,쇼핑업,2.92E+07,1483599
202210,여가서비스업,1.15E+07,241370
202210,식음료업,4.84E+07,2258227
202211,숙박업,1.35E+07,1871850
202211,여행업,365329,45217
202211,운송업,5536316,594747
202211,쇼핑업,2.62E+07,1300982
202211,여가서비스업,9298779,169964
202211,식음료업,3.85E+07,1757483
202212,숙박업,1.31E+07,1706511
202212,여행업,436051,63162
202212,운송업,5700074,674999
202212,쇼핑업,2.20E+07,1489771
202212,여가서비스업,6375304,158449
202212,식음료업,3.44E+07,1729300
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
